the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,time,inside,outside,fatal,lat,lng
0101000020E61000001B51F3B85CCA52C0C078271BE6044440,0101000020110F00005A8A505EE2EA5FC127C19A5D54955241,5812,2018.0,201814103731,0111,2018-12-09,B,M,20,head,N,N,N,500 BLOCK E Penn St,0,-75.16190933,40.03827228,14,22:51:00,0,1,1,40.03827228,-75.16190933
0101000020E6100000EAC537B153CD52C0CEDCA6ECB2F84340,0101000020110F00002C99138EEBEF5FC1F9C3FA38CE875241,5813,2018.0,201818078141,0111,2018-12-09,B,M,24,chest,N,N,N,4600 BLOCK Linmore Ave,0,-75.20823317,39.94296034,18,19:53:00,0,1,1,39.94296034,-75.20823317
0101000020E6100000EAC537B153CD52C0CEDCA6ECB2F84340,0101000020110F00002C99138EEBEF5FC1F9C3FA38CE875241,5814,2018.0,201818078141,3006,2018-12-09,B,M,20,abdom,N,N,N,4600 BLOCK Linmore Ave,0,-75.20823317,39.94296034,18,19:53:00,0,1,0,39.94296034,-75.20823317
0101000020E61000008E870849F0C852C032028D467C004440,0101000020110F000077A5CF5577E85FC127201D5B6F905241,5815,2018.0,201825096635,0411,2018-12-10,W,F,22,multi,N,N,N,600 BLOCK W Sedgley Ave,1,-75.13966585,40.00379259,25,19:03:00,0,1,0,40.00379259,-75.13966585
0101000020E6100000F40DD81741C952C0779D4F15BA044440,0101000020110F00008DD0709800E95FC16940098823955241,5816,2018.0,201835104196,0411,2018-12-10,B,M,23,multi,N,N,N,5500 BLOCK Old York Rd,0,-75.14459797,40.03692881,35,15:23:00,0,1,0,40.03692881,-75.14459797
0101000020E610000004E343FDECCA52C018488AA7A2F84340,0101000020110F0000834F916BD7EB5FC18A7E0F33BC875241,5817,2018.0,201817050506,0411,2018-12-10,B,M,31,leg,N,N,N,1600 BLOCK Fitzwater St,0,-75.17071468,39.94246382,17,01:45:00,0,1,0,39.94246382,-75.17071468
0101000020E61000006A86755F25CC52C0925EB3E06EF74340,0101000020110F00000B3FFD08EAED5FC1F71B804867865241,5818,2018.0,201817050651,0411,2018-12-11,B,M,18,back,N,N,N,1600 BLOCK S 27th St,0,-75.18978106,39.93307123,17,07:41:00,0,1,0,39.93307122,-75.18978106
0101000020E610000028C365D319CA52C0C3F651156C054440,0101000020110F0000B7F0D6BC70EA5FC19FD5DDFDE8955241,5819,2018.0,201835102658,0411,2018-12-04,B,M,29,arm,N,N,N,2100 BLOCK Furley St,0,-75.15782628,40.04236094,35,19:57:00,0,1,0,40.04236094,-75.15782628
0101000020E610000065526429E9CE52C0DA2A7755D6F64340,0101000020110F00002C0D1E499CF25FC1095CE754BE855241,5820,2018.0,201812085522,0411,2018-12-04,B,M,24,back,N,N,N,6300 BLOCK Greenway Ave,0,-75.23298106,39.92841595,12,18:42:00,0,1,0,39.92841595,-75.23298106
0101000020E610000068372318C1C952C0F85AA7FC31FF4340,0101000020110F0000684EAF04DAE95FC1565F5F2D018F5241,5821,2018.0,201825094922,0300,2018-12-04,B,M,38,back,N,N,N,1300 BLOCK W Lehigh Ave,0,-75.15241054,39.99371298,25,01:06:00,0,1,0,39.99371298,-75.15241054
0101000020E610000060DDA1F655C852C0E9CEFA3139FF4340,0101000020110F000043A7363471E75FC1D497112B098F5241,5822,2018.0,201824107154,0111,2018-12-04,W,M,38,multi/head,N,N,N,100 BLOCK E Cambria St,1,-75.13024679,39.99393296,24,12:17:00,0,1,1,39.99393296,-75.13024679
0101000020E61000006F7B8A353FCE52C0CA0D6D9D0BFB4340,0101000020110F00006F89A79A7BF15FC16B6B42BB678A5241,5823,2018.0,201816052495,0411,2018-12-05,B,M,29,back,N,N,N,5100 BLOCK Arch St,0,-75.22260798,39.96129196,16,19:13:00,0,1,0,39.96129196,-75.22260798
0101000020E61000008456F52C67C852C006291D5146FF4340,0101000020110F0000553DCD708EE75FC13891F6B6178F5241,5824,2018.0,201825095390,0112,2018-12-05,W,M,31,head/multi,N,N,N,2900 BLOCK Howard St,1,-75.13129734,39.9943334,25,19:13:00,0,1,1,39.9943334,-75.13129734
0101000020E6100000A667175F76CB52C03A2132B4D3FE4340,0101000020110F00001F7C0EC7C0EC5FC1C92EB9A8988E5241,5825,2018.0,201822097717,0388,2018-12-06,B,M,51,arm,N,N,N,2800 BLOCK W Dauphin St,0,-75.17909982,39.99083569,22,12:41:00,0,1,0,39.99083569,-75.17909982
0101000020E6100000AC4D08C23AC552C0E9D1D8870A034440,0101000020110F00009CDCAA772AE25FC14CDA18DD44935241,5826,2018.0,201815109503,0111,2018-12-06,W,M,30,chest,N,N,N,5100 BLOCK Saul St,1,-75.0817113,40.02375887,15,20:10:00,1,0,1,40.02375887,-75.0817113
0101000020E6100000AC4D08C23AC552C0E9D1D8870A034440,0101000020110F00009CDCAA772AE25FC14CDA18DD44935241,5827,2018.0,201815109562,0111,2018-02-06,B,M,30,chest,N,N,N,5100 BLOCK Saul St,0,-75.0817113,40.02375887,15,21:25:00,1,0,1,40.02375887,-75.0817113
0101000020E6100000D59CD565E5CC52C0D715F1A589FC4340,0101000020110F000059BE6F3530EF5FC1FA35D8140F8C5241,5828,2018.0,201816053009,0411,2018-12-09,B,M,42,leg,N,N,N,3900 BLOCK Poplar St,0,-75.20150133,39.97295069,16,16:08:00,0,1,0,39.97295069,-75.20150133
0101000020E61000008E9236D9AFCA52C0CD96496035034440,0101000020110F00000174FB906FEB5FC1680FF86174935241,5829,2018.0,201839087603,0111,2018-12-08,B,M,25,head/multi,N,N,N,4900 BLOCK Wayne Ave,0,-75.16698294,40.02506641,39,19:22:00,0,1,1,40.02506641,-75.16698294
0101000020E61000009C43E76F21C852C0B944C39CFFFF4340,0101000020110F00004D6097FB17E75FC1D097DD23E58F5241,5830,2018.0,201825099265,0411,2018-12-20,W,M,23,neck,N,N,N,3300 BLOCK A Street,1,-75.12704084,39.99998817,25,20:09:00,0,1,0,39.99998817,-75.12704084
0101000020E6100000430EBEEEBCCE52C07136C247E9F94340,0101000020110F0000F336752851F25FC16100AC0B26895241,5831,2018.0,201818080506,0411,2018-12-20,B,M,32,torso,N,N,N,500 BLOCK S 54th St,0,-75.23028153,39.95243165,18,20:28:00,0,1,0,39.95243165,-75.23028153
0101000020E610000095076D62D6CA52C0A3CD2F5241FF4340,0101000020110F0000EBEC0906B1EB5FC19965282D128F5241,5832,2018.0,201822101938,0111,2018-12-20,B,M,26,head,N,N,N,2200 BLOCK W Huntington St,0,-75.16933499,39.99418094,22,06:59:00,0,1,1,39.99418094,-75.16933499
0101000020E6100000E083B62044C752C0698A42C349FF4340,0101000020110F0000529B0C11A0E55FC1C023E7881B8F5241,5833,2018.0,201824111608,0111,2018-12-20,B,M,19,chest,N,N,N,3100 BLOCK Jasper St,0,-75.11353319,39.99443856,24,10:14:00,0,1,1,39.99443856,-75.11353319
0101000020E6100000B9EC088EE8CA52C096EE8DA5B8054440,0101000020110F000049C243E3CFEB5FC1AC732DEE3D965241,6068,2019.0,201914031198,0411,2019-04-06,B,M,27,stomach,N,N,N,500 BLOCK E Haines St,0,-75.17044402,40.04469747,14,19:29:00,0,1,0,40.04469747,-75.17044402
0101000020E6100000352AEC7929CB52C067EA3BE036054440,0101000020110F00004BF9D0293EEC5FC1B92634F7AD955241,6069,2019.0,201914031162,0111,2019-04-06,B,M,25,multi,N,N,N,200 BLOCK E Haines St,0,-75.17440651,40.04073718,14,17:11:00,0,1,1,40.04073718,-75.17440651
0101000020E61000008ED70FF31DC952C02E5DB9C599054440,0101000020110F00009E4080E6C4E85FC1F097A7AD1B965241,6070,2019.0,201935030282,0411,2019-04-07,B,M,23,multi,N,N,N,5900 BLOCK N Park Ave,0,-75.14245297,40.04375526,35,01:21:00,0,1,0,40.04375526,-75.14245297
0101000020E6100000D880297FCECA52C097D1C076CDF74340,0101000020110F0000BEB51DA0A3EB5FC15C28800CD0865241,6071,2019.0,201917013652,0411,2019-04-06,B,M,26,multi,N,N,N,1200 BLOCK S 15th St,0,-75.16885356,39.93595776,17,21:15:00,0,1,0,39.93595776,-75.16885356
0101000020E610000036C2ECAFA8CE52C0B7ADD282BCFB4340,0101000020110F00008DB2EBC42EF25FC1D2BFF2BF2B8B5241,6072,2019.0,201919028471,0111,2019-04-07,B,M,53,head,N,N,N,400 BLOCK N Sickels St,0,-75.22904585,39.9666904,19,12:06:00,0,1,1,39.9666904,-75.22904585
0101000020E6100000B984E8B57ECA52C05EF1796A9A004440,0101000020110F0000295CC4191CEB5FC1522129C690905241,6073,2019.0,201939028580,0411,2019-04-07,B,M,27,multi,N,N,N,2100 BLOCK W Westmorland St,0,-75.1639838,40.0047124,39,12:41:00,1,0,0,40.0047124,-75.1639838
0101000020E61000003D844C8DABC952C009F006663FFF4340,0101000020110F0000B3252D6DB5E95FC1C93B8E0B108F5241,6074,2019.0,201925027205,0411,2019-04-07,B,M,24,multi,N,N,N,1200 BLOCK Silver St,0,-75.1510957,39.99412227,25,19:21:00,0,1,0,39.99412227,-75.1510957
0101000020E6100000FBCD8258CFC652C0A7A524B145054440,0101000020110F0000AB7C57B3D9E45FC153B7DC66BE955241,6075,2019.0,201902016735,0300,2019-03-28,B,M,36,head,N,N,N,500 BLOCK E Godfrey Ave,0,-75.10640538,40.04118933,02,00:36:00,0,1,0,40.04118933,-75.10640538
0101000020E610000005849C180ECD52C0FC6E3E9E2BFB4340,0101000020110F0000CD10C75675EF5FC1E0A66A318B8A5241,6076,2019.0,201916014878,0411,2019-04-08,B,M,31,hip,N,N,N,500 BLOCK N Preston St,0,-75.20398536,39.96226862,16,01:24:00,0,1,0,39.96226862,-75.20398536
0101000020E61000001B16BC4B96CB52C05365EFF7D1054440,0101000020110F000044151D01F7EC5FC1D40DD5055A965241,6077,2019.0,201914031955,0411,2019-04-08,B,M,34,hip,N,N,N,0 BLOCK E Duval St,0,-75.18104833,40.04547023,14,21:09:00,0,1,0,40.04547023,-75.18104833
0101000020E6100000B05561B738C952C0E0DF1C85D6FE4340,0101000020110F0000F86BDA5DF2E85FC10888E2C79B8E5241,6078,2019.0,201926014104,0411,2019-04-09,B,M,32,leg,N,N,N,600 BLOCK W Huntingdon St,0,-75.14408669,39.99092163,26,00:22:00,0,1,0,39.99092163,-75.14408669
0101000020E61000002A125D61CBCA52C0DFC42D7211004440,0101000020110F0000DB93F9549EEB5FC129B37BE9F88F5241,6079,2019.0,201939029125,0411,2019-04-09,B,M,26,head,N,N,N,3000 BLOCK N Bonsall St,0,-75.16866335,40.00053241,39,00:51:00,0,1,0,40.00053241,-75.16866335
