officer_id,po_race,po_sex,po_assigned_unit,po_district_number,allegations_investigated,investigative_findings,disciplinary_findings,complaint_id,officer_complaint_id
33721429,black,male,6003 HOMICIDE UNIT,,Departmental Violation,Sustained Finding,Training/Counseling,15-0183,15-0183-33721429
70470182,latino,male,1500 15TH DISTRICT,15,Departmental Violation,No Sustained Findings,Not Applicable,15-0183,15-0183-70470182
94992868,latino,male,1500 15TH DISTRICT,15,Departmental Violation,Sustained Finding,Training/Counseling,15-0183,15-0183-94992868
94992868,latino,male,1500 15TH DISTRICT,15,Departmental Violation,No Sustained Findings,Not Applicable,15-0183,15-0183-94992868
72917901,black,male,6003 HOMICIDE UNIT,,Departmental Violation,No Sustained Findings,Not Applicable,15-0183,15-0183-72917901
47477342,white,male,6003 HOMICIDE UNIT,,Departmental Violation,Sustained Finding,Training/Counseling,15-0183,15-0183-47477342
94487153,white,male,6003 HOMICIDE UNIT,,Departmental Violation,Sustained Finding,Training/Counseling,15-0183,15-0183-94487153
91391069,white,male,6003 HOMICIDE UNIT,,Departmental Violation,No Sustained Findings,Not Applicable,15-0183,15-0183-91391069
12900621,black,male,6003 HOMICIDE UNIT,,Departmental Violation,Sustained Finding,Training/Counseling,15-0183,15-0183-12900621
16883165,white,male,0600 06TH DISTRICT,6,Lack of Service,No Sustained Findings,Not Applicable,15-0184,15-0184-16883165
80059015,black,female,4922 RADIO ROOM,,Lack of Service,No Sustained Findings,Not Applicable,15-0185,15-0185-80059015
69095346,black,female,4922 RADIO ROOM,,Lack of Service,No Sustained Findings,Not Applicable,15-0185,15-0185-69095346
,,,,,Criminal Allegation,No Sustained Findings,Not Applicable,15-0186,15-0186-
,,,,,Criminal Allegation,No Sustained Findings,Not Applicable,15-0186,15-0186-
84269868,white,male,1800 18TH DISTRICT,18,Verbal Abuse,No Sustained Findings,Not Applicable,15-0187,15-0187-84269868
49272748,white,male,1700 17TH DISTRICT,17,Lack of Service,No Sustained Findings,Not Applicable,15-0188,15-0188-49272748
83482286,white,male,1700 17TH DISTRICT,17,Lack of Service,No Sustained Findings,Not Applicable,15-0188,15-0188-83482286
,,,,,Departmental Violation,No Sustained Findings,Not Applicable,15-0189,15-0189-
,,,,,Departmental Violation,No Sustained Findings,Not Applicable,15-0189,15-0189-
,,,,,Departmental Violation,No Sustained Findings,Not Applicable,15-0189,15-0189-
,,,,,Departmental Violation,No Sustained Findings,Not Applicable,15-0189,15-0189-
41097719,white,male,2200 22ND DISTRICT,22,Departmental Violation,No Sustained Findings,Not Applicable,15-0190,15-0190-41097719
16920415,white,male,2200 22ND DISTRICT,22,Departmental Violation,No Sustained Findings,Not Applicable,15-0190,15-0190-16920415
41097719,white,male,2200 22ND DISTRICT,22,Departmental Violation,No Sustained Findings,Not Applicable,15-0190,15-0190-41097719
62901975,white,male,2200 22ND DISTRICT,22,Physical Abuse,No Sustained Findings,Not Applicable,15-0191,15-0191-62901975
10558816,black,male,3500 35TH DISTRICT,35,Verbal Abuse,No Sustained Findings,Not Applicable,15-0192,15-0192-10558816
10558816,black,male,3500 35TH DISTRICT,35,Departmental Violation,No Sustained Findings,Not Applicable,15-0192,15-0192-10558816
55446550,black,male,3500 35TH DISTRICT,35,Departmental Violation,No Sustained Findings,Not Applicable,15-0192,15-0192-55446550
16933977,black,male,6702 SPECIAL VICTIMS UNI,,Lack of Service,No Sustained Findings,Not Applicable,15-0193,15-0193-16933977
84782106,white,female,6500 SOUTHWEST DET,,Lack of Service,No Sustained Findings,Not Applicable,15-0194,15-0194-84782106
33788377,white,male,7403 NARC FIELD UNIT NOR,,Departmental Violation,No Sustained Findings,Not Applicable,15-0195,15-0195-33788377
78259317,black,female,0500 05TH DISTRICT,5,Lack of Service,No Sustained Findings,Not Applicable,15-0196,15-0196-78259317
50496522,black,female,1400 14TH DISTRICT,14,Harassment,No Sustained Findings,Not Applicable,15-0197,15-0197-50496522
32724420,white,female,1400 14TH DISTRICT,14,Departmental Violation,Sustained Finding,Training/Counseling,15-0197,15-0197-32724420
50496522,black,female,1400 14TH DISTRICT,14,Verbal Abuse,No Sustained Findings,Not Applicable,15-0197,15-0197-50496522
86603776,white,male,1500 15TH DISTRICT,15,Lack of Service,No Sustained Findings,Not Applicable,15-0198,15-0198-86603776
88498918,white,male,1500 15TH DISTRICT,15,Lack of Service,No Sustained Findings,Not Applicable,15-0198,15-0198-88498918
29340631,white,male,0200 02ND DISTRICT,2,Physical Abuse,No Sustained Findings,Not Applicable,15-0199,15-0199-29340631
28624460,white,male,0600 06TH DISTRICT,6,Verbal Abuse,No Sustained Findings,Not Applicable,15-0200,15-0200-28624460
29643442,white,male,0600 06TH DISTRICT,6,Verbal Abuse,No Sustained Findings,Not Applicable,15-0200,15-0200-29643442
,,,,,Harassment,No Sustained Findings,Not Applicable,15-0201,15-0201-
81426813,white,male,5300 HIGHWAY PATROL,,Harassment,No Sustained Findings,Not Applicable,15-0201,15-0201-81426813
81426813,white,male,5300 HIGHWAY PATROL,,Departmental Violation,No Sustained Findings,Not Applicable,15-0201,15-0201-81426813
28491937,white,male,5300 HIGHWAY PATROL,,Harassment,No Sustained Findings,Not Applicable,15-0201,15-0201-28491937
28491937,white,male,5300 HIGHWAY PATROL,,Departmental Violation,No Sustained Findings,Not Applicable,15-0201,15-0201-28491937
56374551,black,female,3500 35TH DISTRICT,35,Lack of Service,No Sustained Findings,Not Applicable,15-0202,15-0202-56374551
63235856,white,male,3500 35TH DISTRICT,35,Lack of Service,No Sustained Findings,Not Applicable,15-0202,15-0202-63235856
47957822,white,male,1400 14TH DISTRICT,14,Lack of Service,No Sustained Findings,Not Applicable,15-0203,15-0203-47957822
59394418,white,male,6400 NORTHEAST DET,,Lack of Service,Sustained Finding,No Guilty Findings,15-0204,15-0204-59394418
96914445,black,female,1900 19TH DISTRICT,19,Lack of Service,Sustained Finding,Training/Counseling,15-0205,15-0205-96914445
96914445,black,female,1900 19TH DISTRICT,19,Lack of Service,Sustained Finding,Training/Counseling,15-0205,15-0205-96914445
96914445,black,female,1900 19TH DISTRICT,19,Verbal Abuse,No Sustained Findings,Not Applicable,15-0205,15-0205-96914445
68026925,white,male,1900 19TH DISTRICT,19,Departmental Violation,No Sustained Findings,Not Applicable,15-0205,15-0205-68026925
74887029,white,male,1900 19TH DISTRICT,19,Departmental Violation,No Sustained Findings,Not Applicable,15-0205,15-0205-74887029
31270105,black,male,6400 NORTHEAST DET,,Lack of Service,No Sustained Findings,Not Applicable,15-0206,15-0206-31270105
77670862,white,male,6400 NORTHEAST DET,,Lack of Service,No Sustained Findings,Not Applicable,15-0206,15-0206-77670862
44484941,white,male,6400 NORTHEAST DET,,Lack of Service,No Sustained Findings,Not Applicable,15-0206,15-0206-44484941
